date,sp500,monthly_return,monthly_volatility,hist_var95,hist_var99,hist_es95,hist_es99,rolling_volatility,rolling_skewness,rolling_kurtosis,trading_days
2013-06-30,1606.280029296875,-0.014999301595580827,0.17284666100695595,-0.012246622918873901,-0.020809151577913458,-0.016743688457346476,-0.02418434437395579,0.12392479266586584,-0.09717265695855394,1.1321582359884599,20
2013-07-31,1685.72998046875,0.04946207991308493,0.06857607432489247,-0.012246622918873901,-0.020809151577913458,-0.016743688457346476,-0.02418434437395579,0.11677917525802049,-0.31497077120355876,1.4526269198962694,22
2013-08-31,1632.969970703125,-0.031298019479344186,0.10447751108575411,-0.013108940831268213,-0.020809151577913458,-0.017176339183010342,-0.02418434437395579,0.11835179644134435,-0.34491340345655547,1.2332769827114025,22
2013-09-30,1681.550048828125,0.02974952325919511,0.08740347998104432,-0.013108940831268213,-0.020809151577913458,-0.017176339183010342,-0.02418434437395579,0.11662474061688796,-0.4490831383683636,1.231945371386839,20
2013-10-31,1756.5400390625,0.04459575276194494,0.12409638749739939,-0.01233790079141757,-0.020809151577913458,-0.016686422397649982,-0.02418434437395579,0.11788638991189629,-0.36760193229168714,1.2310360708407244,23
2013-11-30,1805.81005859375,0.028049471367328493,0.08955409887352586,-0.011881924022140439,-0.01721563004342296,-0.015728764731164545,-0.022347274842479004,0.11215924358513765,-0.33311054945495056,1.2680904436231872,20
2013-12-31,1848.3599853515625,0.02356279197544575,0.09489893537595676,-0.011881924022140439,-0.01721563004342296,-0.015728764731164545,-0.022347274842479004,0.1107088089631126,-0.3669899108270007,1.4462358337533086,21
2014-01-31,1782.5899658203125,-0.03558290595581204,0.12560041745855444,-0.012441582605598541,-0.01976167704763195,-0.016430631576966427,-0.023219656790001153,0.11327100962346122,-0.524810545800203,0.934589392725455,21
2014-02-28,1859.449951171875,0.04311703017816182,0.12772761637543764,-0.01230459039678237,-0.022076511233142252,-0.016780198317027182,-0.023886384549049733,0.11311609659100319,-0.5934157999112096,1.2307749427468238,19
2014-03-31,1872.3399658203125,0.006932165418226832,0.10433766315592845,-0.01230459039678237,-0.022076511233142252,-0.016780198317027182,-0.023886384549049733,0.11487772036352203,-0.5246626675849583,1.0501718845622245,21
2014-04-30,1883.949951171875,0.0062007891534139326,0.13142387309129872,-0.01230459039678237,-0.021101099119263576,-0.016476896195977364,-0.023176998944724036,0.11366000163102066,-0.5129672129263676,0.9771474222088615,21
2014-05-31,1923.5699462890625,0.021030280073280005,0.08205293932160747,-0.01230459039678237,-0.021101099119263576,-0.016476896195977364,-0.023176998944724036,0.11261610533321058,-0.5278219648779129,1.0768288873424825,21
2014-06-30,1960.22998046875,0.01905833174947058,0.0577501139803766,-0.009860399615766749,-0.01849803150628052,-0.0146814076132525,-0.02176633128973822,0.10205985883151729,-0.4373204310572859,1.399585772617777,21
2014-07-31,1930.6700439453125,-0.015079830845342479,0.10661368459231989,-0.011066200736255525,-0.02064023189856437,-0.015530370831872682,-0.02176633128973822,0.10470234629680279,-0.48706753874997705,1.314729750542159,22
2014-08-31,2003.3699951171875,0.037655295579825276,0.07769206701298399,-0.00997074031735834,-0.02064023189856437,-0.014813748682911184,-0.02176633128973822,0.10233075579234038,-0.5241382353801479,1.521993463385374,21
2014-09-30,1972.2900390625,-0.015513837249454099,0.09479210559230758,-0.01050767769914018,-0.02064023189856437,-0.015278303248809225,-0.02176633128973822,0.10309080922557955,-0.5428602913225139,1.489526989170246,21
2014-10-31,2018.050048828125,0.023201460667202634,0.18289836254167202,-0.011830623100101094,-0.020984949211097642,-0.0167931536145692,-0.02176633128973822,0.11033772501641664,-0.5694417290838095,1.161661868410747,23
2014-11-30,2067.56005859375,0.024533588646315163,0.040778994736293206,-0.011630935277563651,-0.020984949211097642,-0.016677742514283726,-0.02176633128973822,0.10809446901313591,-0.5988810421472531,1.38285739724626,19
2014-12-31,2058.89990234375,-0.004188587515997377,0.1541888094961208,-0.0122249775765042,-0.020984949211097642,-0.0173821955413103,-0.02176633128973822,0.11382415759465588,-0.4291228027863028,1.35397271711225,22
2015-01-31,1994.989990234375,-0.031040805838410512,0.17000911201260357,-0.01319410220416202,-0.02053313114178169,-0.017316355029619382,-0.021693473632062924,0.11797343620253824,-0.31355379183959053,0.9717307844269423,20
2015-02-28,2104.5,0.054892510890623525,0.09574861490945179,-0.012823793161766022,-0.019307025657682265,-0.016545623822067992,-0.020728582782310778,0.11579502506730616,-0.21003497278650338,0.8795150776362078,19
2015-03-31,2067.889892578125,-0.017396107114219683,0.14323957788994585,-0.013527434563681575,-0.019307025657682265,-0.017019132352224454,-0.020728582782310778,0.11952486961453632,-0.2192994236824071,0.6646662306582093,22
2015-04-30,2085.510009765625,0.008520819822535275,0.084898680728247,-0.013400637879086498,-0.01776361330890989,-0.016432387742876017,-0.019842331380710784,0.11612070061302966,-0.14145291258054565,0.7474526402802213,21
